date,time,symbol,open,high,low,close,volume,oi
31/07/2025,14:36:15,NIFTY,24865.5,24865.5,24865.5,24865.5,1200,6520425
31/07/2025,14:36:16,NIFTY,24864.2,24864.2,24864.2,24864.2,300,6520425
31/07/2025,14:36:20,NIFTY,24860.0,24860.0,24860.0,24860.0,150,6520425
31/07/2025,14:36:21,NIFTY,24852.6,24852.6,24852.6,24852.6,975,6520425
31/07/2025,14:36:23,NIFTY,24855.9,24855.9,24855.9,24855.9,1050,6520425
31/07/2025,14:36:25,NIFTY,24855.9,24855.9,24855.9,24855.9,75,6520425
31/07/2025,14:36:30,NIFTY,24853.5,24853.5,24853.5,24853.5,75,6520425
31/07/2025,14:36:31,NIFTY,24855.9,24855.9,24855.9,24855.9,225,6520425
31/07/2025,14:36:33,NIFTY,24855.9,24855.9,24855.9,24855.9,1425,6520425
31/07/2025,14:36:35,NIFTY,24856.7,24856.7,24856.7,24856.7,2025,6520425
31/07/2025,14:36:38,NIFTY,24856.7,24856.7,24856.7,24856.7,1800,6520425
31/07/2025,14:36:39,NIFTY,24865.3,24865.3,24865.3,24865.3,225,6520425
31/07/2025,14:36:41,NIFTY,24865.3,24865.3,24865.3,24865.3,975,6520425
31/07/2025,14:36:43,NIFTY,24866.2,24866.2,24866.2,24866.2,300,6520425
31/07/2025,14:36:46,NIFTY,24860.0,24860.0,24860.0,24860.0,900,6520425
31/07/2025,14:36:49,NIFTY,24860.0,24860.0,24860.0,24860.0,525,6520425
31/07/2025,14:36:53,NIFTY,24860.0,24860.0,24860.0,24860.0,150,6520425
31/07/2025,14:36:56,NIFTY,24856.3,24856.3,24856.3,24856.3,525,6520425
31/07/2025,14:37:03,NIFTY,24856.1,24856.1,24856.1,24856.1,375,6520425
31/07/2025,14:37:06,NIFTY,24856.1,24856.1,24856.1,24856.1,450,6520425
31/07/2025,14:37:11,NIFTY,24856.1,24856.1,24856.1,24856.1,450,6520425
31/07/2025,14:37:12,NIFTY,24870.0,24870.0,24870.0,24870.0,75,6520425
31/07/2025,14:37:16,NIFTY,24871.9,24871.9,24871.9,24871.9,750,6520425
31/07/2025,14:37:17,NIFTY,24871.2,24871.2,24871.2,24871.2,525,6520425
31/07/2025,14:37:19,NIFTY,24869.1,24869.1,24869.1,24869.1,525,6520425
31/07/2025,14:37:21,NIFTY,24869.7,24869.7,24869.7,24869.7,225,6520425
31/07/2025,14:37:24,NIFTY,24870.1,24870.1,24870.1,24870.1,225,6520425
31/07/2025,14:37:27,NIFTY,24877.6,24877.6,24877.6,24877.6,75,6520425
31/07/2025,14:37:29,NIFTY,24877.6,24877.6,24877.6,24877.6,450,6501525
31/07/2025,14:37:32,NIFTY,24875.8,24875.8,24875.8,24875.8,75,6501525
31/07/2025,14:37:34,NIFTY,24875.8,24875.8,24875.8,24875.8,150,6501525
31/07/2025,14:37:37,NIFTY,24878.0,24878.0,24878.0,24878.0,375,6501525
31/07/2025,14:37:39,NIFTY,24878.7,24878.7,24878.7,24878.7,1875,6501525
31/07/2025,14:37:40,NIFTY,24875.7,24875.7,24875.7,24875.7,75,6501525
